date,price_inr_per_liter
2021-09-29,46.01033969900222
2021-09-30,47.678322823683565
2021-10-01,46.96347291310585
2021-10-04,49.47627865937904
2021-10-05,49.34630594836491
2021-10-06,48.08990307522832
2021-10-07,48.891401459815455
2021-10-08,49.02137417082957
2021-10-11,50.01783162193792
2021-10-12,49.80121043691436
2021-10-13,50.12614221444969
2021-10-14,51.144261784060376
2021-10-15,51.12259966555802
2021-10-18,49.9311831479285
2021-10-19,50.29943916246852
2021-10-20,50.970964836041546
2021-10-21,50.12614221444969
2021-10-22,50.082817977444975
2021-10-25,50.38608763647795
2021-10-26,50.66769517700856
2021-10-27,49.19467111884841
2021-10-28,49.34630594836491
2021-10-29,49.4979407778814
2021-11-01,49.84453467391907
2021-11-02,49.82287255541672
2021-11-03,48.11156519373066
