src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax
BOM,JAI,Mumbai,Jaipur,911.3,78,0.72,56,3000.0,400.0,190400.0,2132.44,88182.75767222044,250000.0,338182.75767222047,-147782.75767222047,-2638.9778155753656
BOM,LKO,Mumbai,Lucknow,1183.6,78,0.72,56,3000.0,400.0,190400.0,2769.62,114532.05215815458,250000.0,364532.05215815455,-174132.05215815455,-3109.500931395617
BOM,MAA,Mumbai,Madras,1033.4,78,0.72,56,3000.0,400.0,190400.0,2418.16,99998.13232384337,250000.0,349998.13232384337,-159598.13232384337,-2849.96664864006
BOM,NAG,Mumbai,Nagpur,682.6,78,0.72,56,3000.0,400.0,190400.0,1597.28,66052.29463651229,250000.0,316052.2946365123,-125652.29463651229,-2243.7909756520053
BOM,PAT,Mumbai,Patina,1448.8,78,0.72,56,3000.0,400.0,190400.0,3390.19,140194.473576178,250000.0,390194.47357617796,-199794.47357617796,-3567.7584567174636
BOM,SXR,Mumbai,Srinagar,1667.3,78,0.72,56,3000.0,400.0,190400.0,3901.48,161337.840878531,250000.0,411337.840878531,-220937.840878531,-3945.3185871166247
BOM,TRV,Mumbai,Trivandrum,1257.7,78,0.72,56,3000.0,400.0,190400.0,2943.02,121702.65962207527,250000.0,371702.65962207527,-181302.65962207527,-3237.547493251344
CCU,AMD,Kolkata,Ahmedabad,1619.9,78,0.72,56,3000.0,400.0,190400.0,3790.57,156751.38139858033,250000.0,406751.3813985803,-216351.38139858033,-3863.4175249746486
CCU,BBI,Kolkata,Bhubaneswar,381.9,78,0.72,56,3000.0,400.0,190400.0,893.65,36955.09434909296,250000.0,286955.094349093,-96555.09434909298,-1724.1981133766603
CCU,BLR,Kolkata,Bangalore,1546.8,78,0.72,56,3000.0,400.0,190400.0,3619.51,149677.53991773678,250000.0,399677.5399177368,-209277.53991773678,-3737.0989271024423
CCU,BOM,Kolkata,Mumbai,1665.5,78,0.72,56,3000.0,400.0,190400.0,3897.27,161163.74481496058,250000.0,411163.7448149606,-220763.74481496058,-3942.2097288385817
CCU,DEL,Kolkata,Delhi,1312.7,78,0.72,56,3000.0,400.0,190400.0,3071.72,127024.78869131743,250000.0,377024.78869131743,-186624.78869131743,-3332.585512344954
CCU,DIB,Kolkata,Mohanbari,851.9,78,0.72,56,3000.0,400.0,190400.0,1993.45,82435.10639534422,250000.0,332435.10639534425,-142035.10639534425,-2536.3411856311473
CCU,GAU,Kolkata,Guwahati,498.3,78,0.72,56,3000.0,400.0,190400.0,1166.02,48218.4066613656,250000.0,298218.4066613656,-107818.40666136559,-1925.3286903815283
CCU,IMF,Kolkata,Imphal,602.2,78,0.72,56,3000.0,400.0,190400.0,1409.15,58272.55771501634,250000.0,308272.55771501636,-117872.55771501636,-2104.8671020538636
CCU,IXA,Kolkata,Agartala,316.6,78,0.72,56,3000.0,400.0,190400.0,740.84,30635.944830282584,250000.0,280635.9448302826,-90235.94483028259,-1611.3561576836178
CCU,IXB,Kolkata,Baghdogra,447.9,78,0.72,56,3000.0,400.0,190400.0,1048.09,43341.64923218356,250000.0,293341.6492321836,-102941.64923218358,-1838.2437362889925
CCU,IXR,Kolkata,Ranchi,328.2,78,0.72,56,3000.0,400.0,190400.0,767.99,31758.67835188262,250000.0,281758.6783518826,-91358.67835188261,-1631.4049705693324
CCU,JAI,Kolkata,Jaipur,1356.7,78,0.72,56,3000.0,400.0,190400.0,3174.68,131282.49194671118,250000.0,381282.4919467112,-190882.4919467112,-3408.6159276198428
CCU,MAA,Kolkata,Madras,1385.7,78,0.72,56,3000.0,400.0,190400.0,3242.54,134088.70545594796,250000.0,384088.70545594796,-193688.70545594796,-3458.726883141928
CCU,NAG,Kolkata,Nagpur,985.2,78,0.72,56,3000.0,400.0,190400.0,2305.37,95333.92923355725,250000.0,345333.92923355725,-154933.92923355725,-2766.677307742094
